ID,No,date,hour,Co,Cim,Cik,Cil,Cib,fk,fl,fb,Aok,Aol,Aob,Akl,Alb,Akb,dCk,dCl,dCb,kk,kl,kb,S
CLUE023,1,25/04/2017 00:00,0,8.60139499,8.055421492,4.027710746,4.027710746,4.027710746,0.8,0.7,0.6,0.6,0.5,0.4,1,0.5,0,0,0,0,0.4,0.45,0.5,0
CLUE023,2,25/04/2017 00:10,0,8.60139499,8.055421492,4.027710746,4.027710746,4.027710746,0.8,0.7,0.6,0.6,0.5,0.4,1,0.5,0,0,0,0,0.4,0.45,0.5,0
CLUE023,3,25/04/2017 00:20,0,8.60139499,8.055421492,4.027710746,4.027710746,4.027710746,0.8,0.7,0.6,0.6,0.5,0.4,1,0.5,0,0,0,0,0.4,0.45,0.5,0
CLUE023,4,25/04/2017 00:30,0,8.60139499,8.055421492,4.027710746,4.027710746,4.027710746,0.8,0.7,0.6,0.6,0.5,0.4,1,0.5,0,0,0,0,0.4,0.45,0.5,0
CLUE023,5,25/04/2017 00:40,0,8.60139499,8.055421492,4.027710746,4.027710746,4.027710746,0.8,0.7,0.6,0.6,0.5,0.4,1,0.5,0,0,0,0,0.4,0.45,0.5,0
CLUE023,6,25/04/2017 00:50,0,8.60139499,8.055421492,4.027710746,4.027710746,4.027710746,0.8,0.7,0.6,0.6,0.5,0.4,1,0.5,0,0,0,0,0.4,0.45,0.5,0
CLUE023,7,25/04/2017 01:00,1,10.0483175,7.9305334,4.027710746,4.027710746,4.027710746,0.8,0.7,0.6,0.6,0.5,0.4,1,0.5,0,0,0,0,0.4,0.45,0.5,0
CLUE023,8,25/04/2017 01:10,1,10.0483175,7.9305334,4.027710746,4.027710746,4.027710746,0.8,0.7,0.6,0.6,0.5,0.4,1,0.5,0,0,0,0,0.4,0.45,0.5,0
CLUE023,9,25/04/2017 01:20,1,10.0483175,7.9305334,4.027710746,4.027710746,4.027710746,0.8,0.7,0.6,0.6,0.5,0.4,1,0.5,0,0,0,0,0.4,0.45,0.5,0
CLUE023,10,25/04/2017 01:30,1,10.0483175,7.9305334,4.027710746,4.027710746,4.027710746,0.8,0.7,0.6,0.6,0.5,0.4,1,0.5,0,0,0,0,0.4,0.45,0.5,0
CLUE023,11,25/04/2017 01:40,1,10.0483175,7.9305334,4.027710746,4.027710746,4.027710746,0.8,0.7,0.6,0.6,0.5,0.4,1,0.5,0,0,0,0,0.4,0.45,0.5,0
CLUE023,12,25/04/2017 01:50,1,10.0483175,7.9305334,4.027710746,4.027710746,4.027710746,0.8,0.7,0.6,0.6,0.5,0.4,1,0.5,0,0,0,0,0.4,0.45,0.5,0
CLUE023,13,25/04/2017 02:00,2,8.780662074,8.058889862,4.027710746,4.027710746,4.027710746,0.8,0.7,0.6,0.6,0.5,0.4,1,0.5,0,0,0,0,0.4,0.45,0.5,0
CLUE023,14,25/04/2017 02:10,2,8.780662074,8.058889862,4.027710746,4.027710746,4.027710746,0.8,0.7,0.6,0.6,0.5,0.4,1,0.5,0,0,0,0,0.4,0.45,0.5,0
CLUE023,15,25/04/2017 02:20,2,8.780662074,8.058889862,4.027710746,4.027710746,4.027710746,0.8,0.7,0.6,0.6,0.5,0.4,1,0.5,0,0,0,0,0.4,0.45,0.5,0
